nhs_england_region,date,new_deaths_with_positive_test,cumulative_deaths_with_positive_test,new_deaths_without_positive_test,cumulative_deaths_without_positive_test,new_deaths_total,cumulative_deaths_total,data_subject_to_change
South East,28/10/2021,16,12260,1,887,17,13147,FALSE
South East,29/10/2021,11,12271,2,889,13,13160,FALSE
South East,30/10/2021,18,12289,1,890,19,13179,FALSE
South East,31/10/2021,13,12302,2,892,15,13194,FALSE
South West,01/08/2021,6,4605,0,285,6,4890,FALSE
South West,02/08/2021,5,4610,0,285,5,4895,FALSE
South West,03/08/2021,4,4614,2,287,6,4901,FALSE
South West,04/08/2021,4,4618,0,287,4,4905,FALSE
South West,05/08/2021,2,4620,0,287,2,4907,FALSE
South West,06/08/2021,5,4625,0,287,5,4912,FALSE
South West,07/08/2021,4,4629,0,287,4,4916,FALSE
South West,08/08/2021,7,4636,0,287,7,4923,FALSE
South West,09/08/2021,5,4641,0,287,5,4928,FALSE
South West,10/08/2021,4,4645,1,288,5,4933,FALSE
South West,11/08/2021,2,4647,0,288,2,4935,FALSE
South West,12/08/2021,6,4653,0,288,6,4941,FALSE
South West,13/08/2021,2,4655,0,288,2,4943,FALSE
South West,14/08/2021,6,4661,0,288,6,4949,FALSE
South West,15/08/2021,2,4663,0,288,2,4951,FALSE
South West,16/08/2021,3,4666,0,288,3,4954,FALSE
South West,17/08/2021,5,4671,0,288,5,4959,FALSE
South West,18/08/2021,6,4677,0,288,6,4965,FALSE
South West,19/08/2021,7,4684,0,288,7,4972,FALSE
South West,20/08/2021,7,4691,0,288,7,4979,FALSE
South West,21/08/2021,6,4697,0,288,6,4985,FALSE
South West,22/08/2021,10,4707,0,288,10,4995,FALSE
South West,23/08/2021,7,4714,1,289,8,5003,FALSE
South West,24/08/2021,8,4722,0,289,8,5011,FALSE
South West,25/08/2021,6,4728,0,289,6,5017,FALSE
South West,26/08/2021,10,4738,0,289,10,5027,FALSE
South West,27/08/2021,6,4744,1,290,7,5034,FALSE
South West,28/08/2021,8,4752,0,290,8,5042,FALSE
South West,29/08/2021,11,4763,0,290,11,5053,FALSE
South West,30/08/2021,7,4770,1,291,8,5061,FALSE
South West,31/08/2021,5,4775,0,291,5,5066,FALSE
South West,01/09/2021,7,4782,0,291,7,5073,FALSE
South West,02/09/2021,8,4790,0,291,8,5081,FALSE
South West,03/09/2021,6,4796,0,291,6,5087,FALSE
South West,04/09/2021,4,4800,0,291,4,5091,FALSE
South West,05/09/2021,7,4807,0,291,7,5098,FALSE
South West,06/09/2021,11,4818,1,292,12,5110,FALSE
South West,07/09/2021,10,4828,0,292,10,5120,FALSE
South West,08/09/2021,8,4836,0,292,8,5128,FALSE
South West,09/09/2021,9,4845,0,292,9,5137,FALSE
South West,10/09/2021,6,4851,0,292,6,5143,FALSE
South West,11/09/2021,8,4859,1,293,9,5152,FALSE
South West,12/09/2021,5,4864,0,293,5,5157,FALSE
South West,13/09/2021,7,4871,0,293,7,5164,FALSE
South West,14/09/2021,8,4879,1,294,9,5173,FALSE
South West,15/09/2021,6,4885,0,294,6,5179,FALSE
South West,16/09/2021,5,4890,1,295,6,5185,FALSE
South West,17/09/2021,9,4899,0,295,9,5194,FALSE
South West,18/09/2021,9,4908,0,295,9,5203,FALSE
South West,19/09/2021,3,4911,0,295,3,5206,FALSE
South West,20/09/2021,5,4916,1,296,6,5212,FALSE
South West,21/09/2021,2,4918,0,296,2,5214,FALSE
South West,22/09/2021,7,4925,1,297,8,5222,FALSE
South West,23/09/2021,7,4932,1,298,8,5230,FALSE
South West,24/09/2021,7,4939,2,300,9,5239,FALSE
South West,25/09/2021,9,4948,1,301,10,5249,FALSE
South West,26/09/2021,7,4955,0,301,7,5256,FALSE
South West,27/09/2021,8,4963,0,301,8,5264,FALSE
South West,28/09/2021,5,4968,0,301,5,5269,FALSE
South West,29/09/2021,2,4970,0,301,2,5271,FALSE
South West,30/09/2021,9,4979,0,301,9,5280,FALSE
South West,01/10/2021,6,4985,2,303,8,5288,FALSE
South West,02/10/2021,6,4991,0,303,6,5294,FALSE
South West,03/10/2021,5,4996,1,304,6,5300,FALSE
South West,04/10/2021,7,5003,0,304,7,5307,FALSE
South West,05/10/2021,4,5007,0,304,4,5311,FALSE
South West,06/10/2021,4,5011,0,304,4,5315,FALSE
South West,07/10/2021,4,5015,0,304,4,5319,FALSE
South West,08/10/2021,2,5017,1,305,3,5322,FALSE
South West,09/10/2021,7,5024,0,305,7,5329,FALSE
South West,10/10/2021,4,5028,0,305,4,5333,FALSE
South West,11/10/2021,5,5033,0,305,5,5338,FALSE
South West,12/10/2021,5,5038,0,305,5,5343,FALSE
South West,13/10/2021,4,5042,1,306,5,5348,FALSE
South West,14/10/2021,8,5050,0,306,8,5356,FALSE
South West,15/10/2021,6,5056,3,309,9,5365,FALSE
South West,16/10/2021,7,5063,0,309,7,5372,FALSE
South West,17/10/2021,7,5070,0,309,7,5379,FALSE
South West,18/10/2021,6,5076,0,309,6,5385,FALSE
South West,19/10/2021,3,5079,0,309,3,5388,FALSE
South West,20/10/2021,4,5083,0,309,4,5392,FALSE
South West,21/10/2021,10,5093,0,309,10,5402,FALSE
South West,22/10/2021,9,5102,0,309,9,5411,FALSE
South West,23/10/2021,14,5116,0,309,14,5425,FALSE
South West,24/10/2021,3,5119,0,309,3,5428,FALSE
South West,25/10/2021,8,5127,0,309,8,5436,FALSE
South West,26/10/2021,19,5146,0,309,19,5455,FALSE
South West,27/10/2021,10,5156,0,309,10,5465,FALSE
South West,28/10/2021,8,5164,0,309,8,5473,FALSE
South West,29/10/2021,11,5175,0,309,11,5484,FALSE
South West,30/10/2021,7,5182,0,309,7,5491,FALSE
South West,31/10/2021,8,5190,1,310,9,5500,FALSE
